,showInProfile,allowDataAccess,showByline,showShareOptions,showTabs,showToolbar,showWatermark,warnDataAccess,id,ownerId,firstPublishDate,lastPublishDate,createdAt,lastUpdateDate,size,description,luid,permalink,revision,title,workbookRepoUrl,extractInfo,viewCount,defaultViewName,defaultViewRepoUrl,defaultViewLuid,authorProfileName,authorDisplayName,externalLink,numberOfFavorites,attributions,error.message,error.id,getDate
344,True,True,True,True,False,True,True,False,4736258.0,775932.0,1549173796375.0,1549174174415.0,1549173796378.0,1669079168877.0,379542.0,WorkoutWednes_2019w05_WhereAreTheBiggestDiscount,d5c04d5b-6489-41e6-a8f6-1849780edeec,,1.1,WorkoutWednes_2019w05_WhereAreTheBiggestDiscount,WorkoutWednes_2019w05_WhereAreTheBiggestDiscount,,92.0,Dashboard,WorkoutWednes_2019w05_WhereAreTheBiggestDiscount/sheets/Dashboard,ac0e81a5-2ef9-470a-9e89-e7790a320908,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
345,True,True,True,True,False,True,True,False,4719202.0,775932.0,1548600845229.0,1548601983106.0,1548600845233.0,1669075064945.0,20572.0,MakeoverMonday_2019_w05_DESI,964cadb5-c087-4ce1-a0e3-4ca00c0905a8,,1.1,MakeoverMonday_2019_w05_DESI,MakeoverMonday_2019_w05_DESI,,61.0,Dashboard,MakeoverMonday_2019_w05_DESI/sheets/Dashboard,4545e273-a864-4bcd-969c-9ed63c0a9f96,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
346,True,True,True,True,False,True,True,False,4712616.0,775932.0,1548338762605.0,1548338762605.0,1548338762611.0,1669073272451.0,13018.0,WorkoutWednesday_2019w04_HeadcountingTracking,7352aa5c-2b4f-45d7-8b47-9e4081cb77ce,,1.0,WorkoutWednesday_2019w04_HeadcountingTracking,WorkoutWednesday_2019w04_HeadcountingTracking,,61.0,Dashboard,WorkoutWednesday_2019w04_HeadcountingTracking/sheets/Dashboard,6cf56bda-7722-4e89-9b16-cbf359857eb3,yuta1985,Yuta Sakai,,1.0,[],,,2025/10/13 10:59:26
347,True,True,True,True,False,True,True,False,4710860.0,775932.0,1548278223334.0,1548288013699.0,1548278223337.0,1669072793669.0,68697.0,MakeoverMonday_2019_w04_Energy_Use_ver3,6f20cbb4-d037-420d-a9c6-789a1954d43d,,1.1,MakeoverMonday_2019_w04_Energy_Use_ver3,MakeoverMonday_2019_w04_Energy_Use_ver3,,89.0,Dashboard,MakeoverMonday_2019_w04_Energy_Use_ver3/sheets/Dashboard,fc442b49-0e68-4b13-b657-d401828ee404,yuta1985,Yuta Sakai,,2.0,[],,,2025/10/13 10:59:26
348,True,True,True,True,False,True,True,False,4707373.0,775932.0,1548170984148.0,1548170984148.0,1548170984151.0,1669071866593.0,66128.0,MakeoverMonday_2019_w04_Energy_Use_ver2,62e5f726-74f2-4c24-813b-3bdbb8322ba8,,1.0,MakeoverMonday_2019_w04_Energy_Use_ver2,MakeoverMonday_2019_w04_Energy_Use_ver2,,61.0,Dashboard,MakeoverMonday_2019_w04_Energy_Use_ver2/sheets/Dashboard,e6f904fc-60a7-4b01-89f8-29fcf7938d79,yuta1985,Yuta Sakai,,1.0,[],,,2025/10/13 10:59:26
349,True,True,True,True,False,True,True,False,4704986.0,775932.0,1548088417959.0,1548088417959.0,1548088417963.0,1669071234127.0,65698.0,MakeoverMonday_2019_w04_Energy_Use,30ce89d7-fece-4317-84a4-e0134108a01d,,1.0,MakeoverMonday_2019_w04_Energy_Use,MakeoverMonday_2019_w04_Energy_Use,,67.0,Dashboard,MakeoverMonday_2019_w04_Energy_Use/sheets/Dashboard,8aba102b-bd86-453f-b76f-3a4c333c77e1,yuta1985,Yuta Sakai,,1.0,[],,,2025/10/13 10:59:26
350,True,True,True,True,False,True,True,False,4701766.0,775932.0,1547935713164.0,1547935713164.0,1547935713168.0,1669070419998.0,15211.0,"My first challenge for Workout Wednesday.
http://www.workout-wednesday.com/2019-week-3-rugby-league-2018-home-v-away/",ae141c9b-bb9d-4803-966e-6e19b4e6da09,,1.0,WorkoutWednes_2019w03_rugby_league,WorkoutWednes_2019w03_rugby_league,,64.0,Dashboard,WorkoutWednes_2019w03_rugby_league/sheets/Dashboard,13a6f097-18ae-4d63-8fdc-9552c14fe7bc,yuta1985,Yuta Sakai,,0.0,"[{'authorDisplayName': 'Lorna Eden', 'authorProfileName': 'lorna.eden', 'attributionUrl': 'https://public.tableau.com/profile/lorna.eden#!/vizhome/WorkoutWednesday2019Week3/WorkoutWednesday2019Week3', 'workbookName': '#WorkoutWednesday2019 Week 3', 'workbookRepoUrl': 'WorkoutWednesday2019Week3', 'workbookViewName': 'WorkoutWednesday2019Week3'}]",,,2025/10/13 10:59:26
351,True,True,True,True,False,True,True,False,4691637.0,775932.0,1547561718012.0,1547561718012.0,1547561718015.0,1669067801963.0,28128.0,MakeoverMonday_2019_w03_Workers_making_minimum_wage_or_less,67772cc5-225c-4cf9-8a2f-276dffc3b87b,,1.0,MakeoverMonday_2019_w03_Workers_making_minimum_wage_or_less,MakeoverMonday_2019_w03_Workers_making_minimum_wage_or_less,,147.0,Dashboard,MakeoverMonday_2019_w03_Workers_making_minimum_wage_or_less/sheets/Dashboard,305cddd3-414f-4f40-a429-184a3fb9d628,yuta1985,Yuta Sakai,,2.0,[],,,2025/10/13 10:59:26
352,True,True,True,True,False,True,True,False,4678148.0,775932.0,1546991704805.0,1546991704805.0,1546991704808.0,1669060465079.0,20080.0,MakeoverMonday_2019_w02_Press_Freedom_r2,3a1ff997-8965-460b-9fc7-865432c1265d,,1.0,MakeoverMonday_2019_w02_Press_Freedom_r2,MakeoverMonday_2019_w02_Press_Freedom_r2,,131.0,Dashboard,MakeoverMonday_2019_w02_Press_Freedom_r2/sheets/Dashboard,0ce84080-f426-4e40-9b87-ddb9557fd7a9,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
353,True,True,True,True,False,True,True,False,4677061.0,775932.0,1546960722281.0,1546961257203.0,1546960722284.0,1669060201785.0,20027.0,MakeoverMonday_2019_w02_Press_Freedom,d225ca34-cdc6-4326-8fb3-bfbc181cd9d4,,1.1,MakeoverMonday_2019_w02_Press_Freedom,MakeoverMonday_2019_w02_Press_Freedom,,61.0,Dashboard,MakeoverMonday_2019_w02_Press_Freedom/sheets/Dashboard,b364b275-8949-4c5a-9137-bd710958c3d4,yuta1985,Yuta Sakai,,0.0,[],,,2025/10/13 10:59:26
